MONTH_START_DATE,TIER,ACTUAL_SALES,STOCK_OUT_CORRECTED_SALES,DAYS_WITH_LOST_SALES,LOST_SALES,STOCKOUT_RATE
2022-07-01,A,6573308.29,6803602.2,982,230293.91,0.0338
2022-07-01,B,7772083.93,8418073.72,4901,645989.79,0.0767
2022-07-01,C,7608442.31,8558667.87,9862,950225.56,0.111
2022-07-01,D,4656398.19,6097328.78,25517,1440930.59,0.2363
2022-08-01,A,5326265.91,5497952.92,913,171687.01,0.0312
2022-08-01,B,7051415.61,7389096.42,3972,337680.81,0.0457
2022-08-01,C,7222966.32,8200048.06,10670,977081.74,0.1192
2022-08-01,D,4574585.19,6082466.93,26144,1507881.74,0.2479
2022-09-01,A,4734239.96,4838565.53,817,104325.57,0.0216
2022-09-01,B,6170925.2,6401271.15,2780,230345.95,0.036
2022-09-01,C,6778737.43,7581512.2,9127,802774.77,0.1059
2022-09-01,D,4550348.8,5943026.78,25453,1392677.98,0.2343
